source_framework,source_control_id,target_framework,target_control_id,mapping_confidence
iso27001,A.5.1,nist_800_53,AC-16,medium
iso27001,A.5.1,nist_800_53,CA-1,high
iso27001,A.5.1,nist_800_53,MP-1,medium
iso27001,A.5.1,nist_800_53,MP-6,medium
iso27001,A.5.1,nist_800_53,PM-1,high
iso27001,A.5.1,nist_800_53,PM-9,high
iso27001,A.5.1,nist_800_53,PT-2,medium
iso27001,A.5.1,nist_800_53,PT-3,medium
iso27001,A.5.1,nist_800_53,RA-1,high
iso27001,A.5.1,nist_800_53,RA-3,high
iso27001,A.5.1,nist_800_53,SI-12,medium
iso27001,A.5.1,soc2,CC1.1,high
iso27001,A.5.1,soc2,CC1.2,high
iso27001,A.5.1,soc2,CC2.3,high
iso27001,A.5.10,nist_800_53,AT-2,high
iso27001,A.5.10,nist_800_53,AT-3,high
iso27001,A.5.10,nist_800_53,PS-1,high
iso27001,A.5.10,nist_800_53,PS-2,high
iso27001,A.5.10,nist_800_53,PS-3,high
iso27001,A.5.10,nist_800_53,PS-4,high
iso27001,A.5.10,nist_800_53,PS-6,high
iso27001,A.5.10,soc2,CC1.1,high
iso27001,A.5.11,nist_800_53,AT-2,high
iso27001,A.5.11,nist_800_53,AT-3,high
iso27001,A.5.11,nist_800_53,PS-1,high
iso27001,A.5.11,nist_800_53,PS-2,high
iso27001,A.5.11,nist_800_53,PS-3,high
iso27001,A.5.11,nist_800_53,PS-4,high
iso27001,A.5.11,nist_800_53,PS-6,high
iso27001,A.5.11,soc2,CC6.4,high
iso27001,A.5.12,nist_800_53,AC-16,medium
iso27001,A.5.12,nist_800_53,MP-1,medium
iso27001,A.5.12,nist_800_53,MP-6,medium
iso27001,A.5.12,nist_800_53,PE-13,medium
iso27001,A.5.12,nist_800_53,PE-14,medium
iso27001,A.5.12,nist_800_53,PE-2,medium
iso27001,A.5.12,nist_800_53,PE-3,medium
iso27001,A.5.12,nist_800_53,PE-6,medium
iso27001,A.5.12,nist_800_53,PT-2,medium
iso27001,A.5.12,nist_800_53,PT-3,medium
iso27001,A.5.12,nist_800_53,SI-12,medium
iso27001,A.5.12,soc2,C1.1,high
iso27001,A.5.12,soc2,CC2.1,high
iso27001,A.5.12,soc2,CC6.1,high
iso27001,A.5.14,nist_800_53,AC-16,medium
iso27001,A.5.14,nist_800_53,MP-1,medium
iso27001,A.5.14,nist_800_53,MP-6,medium
iso27001,A.5.14,nist_800_53,PT-2,medium
iso27001,A.5.14,nist_800_53,PT-3,medium
iso27001,A.5.14,nist_800_53,SI-12,medium
iso27001,A.5.14,soc2,A1.2,high
iso27001,A.5.14,soc2,C1.1,high
iso27001,A.5.14,soc2,CC2.1,high
iso27001,A.5.14,soc2,CC6.1,high
iso27001,A.5.14,soc2,CC6.5,high
iso27001,A.5.14,soc2,CC6.6,high
iso27001,A.5.14,soc2,CC6.7,high
iso27001,A.5.14,soc2,CC8.1,high
iso27001,A.5.14,soc2,PI1.4,high
iso27001,A.5.14,soc2,PI1.5,high
iso27001,A.5.15,nist_800_53,AC-2,high
iso27001,A.5.15,nist_800_53,AC-3,high
iso27001,A.5.15,nist_800_53,AC-6,high
iso27001,A.5.15,nist_800_53,IA-2,high
iso27001,A.5.15,nist_800_53,IA-5,high
iso27001,A.5.15,soc2,CC5.2,medium
iso27001,A.5.15,soc2,CC6.1,high
iso27001,A.5.15,soc2,CC6.6,high
iso27001,A.5.16,nist_800_53,AC-2,high
iso27001,A.5.16,nist_800_53,AC-3,high
iso27001,A.5.16,nist_800_53,AC-6,high
iso27001,A.5.16,nist_800_53,IA-2,high
iso27001,A.5.16,nist_800_53,IA-5,high
iso27001,A.5.16,soc2,CC5.2,high
iso27001,A.5.16,soc2,CC6.1,high
